id	requirement_id	operation_id	given	when	then	status
E-001	R1-01	login	Активный INDIVIDUAL RM_A; индивидуальный пароль; approved same Origin	POST login с верным паролем	200; новая server session; cookie Secure HttpOnly SameSite=Lax Path=/ без Domain; csrf_token; audit и outbox auth.logged_in атомарны	NOT_RUN
E-002	R1-01	login	Неизвестный login либо неверный пароль либо blocked user	POST login для каждой fixture	Одинаковый 401 INVALID_CREDENTIALS с code,message,request_id,details; нет session или утечки существования login	NOT_RUN
E-003	R1-01	login	Нет Origin либо чужой Origin либо null Origin	POST login с правильным паролем	403 ORIGIN_DENIED; новая session не создаётся	NOT_RUN
E-004	R1-01	getMe	Валидная session RM_A; только текущий grant A	GET me	200; персональный профиль и grant A; нет B и password/token digests; no-store; redacted access resolution audit	NOT_RUN
E-005	R1-01	getMe	Session revoked либо password_hash_updated_at новее session.created_at либо auth_epoch изменён	Следующий GET me после commit revoke/rotation	401 SESSION_REVOKED; старые cookie/CSRF не восстанавливают доступ	NOT_RUN
E-006	R1-01	getMe	Session превысила approved idle или absolute expiry	GET me	401 UNAUTHENTICATED; нет бизнес-данных; срок не продлевается отвергнутым запросом	NOT_RUN
E-007	R1-01	logout	Валидная personal session; CSRF; Origin	POST logout с {} без Idempotency-Key	200 revoked=true; текущая session отозвана и cookie истёк; audit/outbox атомарны; следующий GET 401	NOT_RUN
E-008	R1-01	logout	Session уже отозвана успешным logout	Повтор POST logout	401; нет повторного бизнес-события и восстановления session; auth исключение key явно соблюдено	NOT_RUN
E-009	R1-01	createWorkItem	Session RM_A; нет либо неверный X-CSRF-Token	POST create с корректным body и ключом	403 CSRF_INVALID; нет work_item, поля, бизнес-аудита, outbox	NOT_RUN
E-010	R1-02	listWorkItems	Есть задачи A и B; RM_A имеет только grant A	GET work-items без org filter	200; только A; нет B в items, count, cursor или details	NOT_RUN
E-011	R1-02	listWorkItems	RM_A без grant B	GET work-items с org_unit_id=B	403 FORBIDDEN; нет сведений о задачах B	NOT_RUN
E-012	R1-02	getWorkItem	RM_A знает UUID реальной задачи B; отдельный неизвестный UUID	GET оба UUID	Одинаковый 404 NOT_FOUND; детали не раскрывают B или его version	NOT_RUN
E-013	R1-02	createWorkItem	RM_A имеет только grant A	POST create в org B	403 FORBIDDEN; никакой записи в B	NOT_RUN
E-014	R1-02	getWorkItem	RF_A1 и RF_A2 в одном филиале; задача назначена RF_A2	GET задачи от RF_A1	404 NOT_FOUND; владение филиальным grant не даёт чужие RF задачи	NOT_RUN
E-015	R1-03	createWorkItem	RM_A; unique key; title до 200; due_at UTC Z; pilot_task_v1	POST create	201 DRAFT; entity_version=1; одна completion_summary value=null field_version=1; pinned template и requires_acceptance=true; org A immutable	NOT_RUN
E-016	R1-03	createWorkItem	RM_A с валидным CSRF и unique key для каждой попытки	POST с title отсутствует либо пустой либо whitespace либо 201 символ	422 VALIDATION_ERROR; ни одна некорректная задача не записана	NOT_RUN
E-017	R1-03	createWorkItem	RM_A с валидным CSRF	POST с due_at без Z, неверной календарной датой или отсутствующим due_at	422 VALIDATION_ERROR; UTC instant проверяется семантически; нет записи	NOT_RUN
E-018	R1-03	createWorkItem	RM_A; deadline в прошлом UTC	POST корректный create	201; past due не запрещён; последующая сдача получает LATE без изменения due_at	NOT_RUN
E-019	R1-03	createWorkItem	RM_A; неизвестный template либо overposted status/actor/requires_acceptance=false	POST create с каждым запрещённым полем	422 VALIDATION_ERROR; только seeded template; сервер не принимает status/actor/acceptance из клиента	NOT_RUN
E-020	R1-04	assignWorkItem	DRAFT A version1; RM_A; активный RF_A с текущим grant	POST assign expected_entity_version=1	200 ASSIGNED version2; assignee RF_A; work_item.assigned и одна IN_APP после consumer commit	NOT_RUN
E-021	R1-04	assignWorkItem	DRAFT A; target RF_B либо inactive RF_A либо revoked/expired grant RF_A	POST assign с верной version	422 ASSIGNEE_INELIGIBLE одинаковой формы; DRAFT без изменений; данные чужого пользователя не раскрыты	NOT_RUN
E-022	R1-04	assignWorkItem	ASSIGNED A; RM_A; новый eligible RF	POST assign с актуальной version	422 INVALID_TRANSITION; reassignment не входит R1; исполнитель и due_at прежние	NOT_RUN
E-023	R1-04	startWorkItem	ASSIGNED A version2; назначенный RF_A	POST start expected_entity_version=2	200 IN_PROGRESS version3; actor и org в audit/outbox верны	NOT_RUN
E-024	R1-04	startWorkItem	ASSIGNED A; RM_A имеет read но не work_item.start	POST start с актуальной version	403 FORBIDDEN; manager не подменяет исполнителя	NOT_RUN
E-025	R1-05	patchWorkItemFields	ASSIGNED или IN_PROGRESS A; RF-own; field_version1 entity_version3	Одно PATCH completion_summary expected_version1 непустой текст	200; value сохранён; field_version2 entity_version4; после нового GET тот же текст; success только после commit	NOT_RUN
