requirement_id	source_ref	requirement	screen	api_or_entity	tests	stage	status	remaining
S1-ORG-01	TZ-v2.12/sec-011/§2.3	Stable OrgUnit UUID and NETWORK/DIVISION/CLUSTER/ORG_UNIT	/organization	org_directory_units	ORG-DB-01;ORG-DB-05;ORG-DB-06;ORG-UI-01	1	PARTIAL_READONLY_MODEL	Approved real hierarchy; unified real task/store migration
S1-ORG-02	TZ-v2.12/sec-012/§2.4	Five branch types and type attributes	/organization	org_directory_units.type_code	ORG-DB-07	1	PARTIAL_ENUM_ONLY	Attribute catalog; confirmed types; editor
S1-ORG-03	TZ-v2.12/sec-013/§2.5.1	Half-open name resolver by as_of	/organization	org_directory_name_history;getOrganizationTree	ORG-API-04;ORG-API-05;ORG-DB-02;ORG-DB-04	1	PASS_BOUNDED_SLICE	Integration with report/PDF/email consumers in later stages
S1-ORG-04	TZ-v2.12/sec-013/§2.5.2	Current UI name versus historical report name	/organization	org_directory_name_history	ORG-API-04	1	PARTIAL_DIRECTORY_ONLY	Live dashboard resolver; report archive integration
S1-ORG-05	TZ-v2.12/sec-013/§2.5.3	Non-overlapping history and no silent rewrite	/organization	org_directory_name_history;org_directory_affiliation_history	ORG-DB-02;ORG-DB-03;ORG-DB-04	1	PARTIAL_NAME_AFFILIATION	Owner/assignment histories; temporal parent coverage
S1-ORG-06	TZ-v2.12/sec-014/§2.6	Stable identity aliases	none	org_directory_units.aliases	NONE	1	STORAGE_ONLY	Alias resolver/uniqueness/approval; no login aliases implemented
S1-ORG-07	TZ-v2.12/sec-015/§2.7	Lifecycle PRE_LAUNCH/ACTIVE/PAUSED/CLOSED	/organization	org_directory_units.lifecycle_state	ORG-DB-07	1	PARTIAL_ENUM_ONLY	Transitions; effective lifecycle history; downstream receive/mail gates
S1-ACCESS-01	TZ-v2.12/sec-017/§3.1	Role registry as data with scope and system flag	none	existing R1 roles only	ORG-DB-01	1	DEFERRED_FULL_CATALOG	Do not silently broaden REGIONAL_MANAGER pilot scope
S1-ACCESS-02	TZ-v2.12/sec-018/§3.2	Permissions enforced on backend	/organization	existing work_item.read exact metadata projection	ORG-API-02;ORG-API-06;ORG-API-09;ORG-API-11;ORG-API-12	1	PARTIAL_EXISTING_PILOT_ONLY	New permission catalog and business authorization approval
S1-ACCESS-03	TZ-v2.12/sec-019/§3.2A	Initial 30 role catalog and protected system codes	none	not seeded	NONE	1	DEFERRED	Full catalog/permissions/history/UI with tests before activation
S1-ACCESS-04	TZ-v2.12/sec-020/§3.3	PRIMARY/ACTING/SUPPORTING and alert policy	none	existing R1 role_grants only	NONE	1	DEFERRED	Assignment model, exclusion keys, expiry/reason/alert semantics
S1-ACCESS-05	TZ-v2.12/§3.3.2;§45.1	Manual handover does not prolong expired/revoked access	none	existing grants current validity	ORG-API-07	1	PARTIAL_EXPIRY_FENCE	Handover workflow, notification rules and future assignment writer
S1-ACCESS-06	TZ-v2.12/§3.6;§3.8.4	Multi-role UNION never adds unrelated units	/organization	current exact grants	ORG-API-06;ORG-API-08;R1 E-041/E-077	1	PASS_PILOT_SCOPE_ONLY	Full role/deny/restriction composition not implemented
S1-ACCESS-07	TZ-v2.12/§3.8.1	BH/OWNER multi-branch is exact UNION not network	none	not implemented for BH/OWNER	ORG-API-08 is pilot analogue only	1	DEFERRED_BUSINESS_ROLES	Approved ownership and historical financial grants
S1-ACCESS-08	TZ-v2.12/§3.8.2	Shared-login confinement and attribution	none	no shared login enabled	NONE	1	DEFERRED	Shared-login policy; no legacy credentials imported
S1-ACCESS-09	TZ-v2.12/§3.8.3	Demo data isolated from production	/organization	is_demo boundary;separate demo adapter	ORG-DB-06;ORG-DEMO-01;ORG-DEMO-02	1	PARTIAL_SYNTHETIC_PILOT	Production user-kind/role access policies not enabled
S1-ACCESS-10	TZ-v2.12/§3.8.5	Permission resolution log TTL 90 days	none	not implemented	NONE	1	DEFERRED	Access log and retention, not replaced by request IDs
S1-ACCESS-11	TZ-v2.12/§3.9	Role CRUD/preview/approval/cache invalidation/history	/organization denial only	admin-review denial	ORG-API-09;ORG-API-10	1	DEFERRED_FAIL_CLOSED	Named approved administrator; full lifecycle/catalog transaction tests
S1-REORG-01	TZ-v2.12/sec-085/§16D.1	Atomic DRAFT/PREVIEW/APPLIED change sets	/organization denial only	no proposal persistence	ORG-API-09	1	DEFERRED_FAIL_CLOSED	Admin-only proposals, immutable preview hash/version, approval/audit/idempotency
S1-REORG-02	TZ-v2.12/§16D.6;§45.1	Owner relations/access grants/recipients independent	none	no owner history or legal access	NONE	1	DEFERRED	Ownership relation IDs, segmented archive rights, mail revocation
S1-REORG-03	TZ-v2.12/§16D.7.1–3	Effective dated hierarchy with preview and revised aggregates	/organization	org_directory_affiliation_history	ORG-API-04;ORG-DB-02;ORG-DB-03;ORG-DB-06	1	PARTIAL_READONLY_HISTORY	Approved change writer, atomic change set and metric snapshot recalculation
S1-45-01	TZ-v2.12/sec-227/§45.1 business model	FRANCHISE/OWN_OPERATION/UC; legal entity/contract; affiliation history	/organization	org_directory_affiliation_history	ORG-API-04;ORG-DB-07	1	PARTIAL_MODEL	Legal/contract registry FKs, source confirmation; no name inference
S1-45-02	TZ-v2.12/sec-227/§45.1 role aliases	COMDIR→COMMERCIAL_DIRECTOR and exact canonical role aliases	/organization informational note	ORG_DIRECTORY_V1.md requirements table	NONE_RUNTIME	1	DOCUMENTED_NOT_IMPLEMENTED	Approved registry seed/normalizer, unknown role publication gate
S1-45-03	TZ-v2.12/sec-227/§45.1 signatory	UC_AUTHORIZED_SIGNATORY separate documented expiry	none	not enabled	NONE	1	DEFERRED_G_LEGAL	Authority evidence, expiry, approvals and legal gate
S1-45-04	TZ-v2.12/sec-227/§45.1 current grants	Historical affiliation never implies historical authorization	/organization	single-statement current scope	ORG-API-02;ORG-API-03;ORG-API-07;ORG-API-08	1	PASS_PILOT_DIRECTORY_ONLY	Full workers/files/exports/AI/field restrictions and concurrent grant-writer fence
S1-SAFETY-01	Roadmap stage1;D-01;D-09	No automatic archive account activation	/organization denied review	no identity/grant migration	ORG-API-09;ORG-MIG-01	1	PASS_SLICE	Real participants and mappings must be approved outside public demo
S1-MIG-01	Roadmap stage1;TZ-v2.12/§45.2	Additive versioned SQL, checksum, atomic migration failure	none	schema_migrations;001_org_directory.sql	ORG-MIG-01;ORG-MIG-02;ORG-MIG-03	1	PASS_LOCAL_PG16	Production release rehearsal, backup/restore and privilege review not executed
